Settings	[93,463][279,513]	AppNameLite_text_com.huawei.hmos.settings_mrovu5defluj46b2yjl
Gallery	[421,463][583,513]	AppNameLite_text_com.huawei.hmos.photos_mrovu5dyry9w7nfcrba
Files	[760,463][875,513]	AppNameLite_text_com.huawei.hmos.files_mrovu5ef6ggo7pd2z8f
Calendar	[1032,463][1233,513]	AppNameLite_text_com.huawei.hmos.calendar_mrovu5f19bza4jpt2ps
No service	[49,71][272,124]	SignalComponent-SignalOperatorInfo_Text_operator
07, :, 59	[49,55][188,139]	ClockStatusView
07	[49,66][111,128]	
:	[111,71][126,124]	TimeView_Text_timeText
59	[126,66][188,128]	
100	[1182,75][1252,120]	BatteryComponent-batteryIcon_Text_batterySoc
100	[1182,75][1252,120]	BatteryComponent-batteryIcon_Text_batterySoc
